SMILES,IC50
CN(C1CCN(CC1)C1CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.89
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCN2CCCC2C1)C#N,5.89
CN(C1CC1)[C@@H]1CCCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,5.89
CC1=C(COC1=O)N1CCC2(CCN(CCc3ccc-4c(Cn5nnnc-45)c3)CC2)C1=O,6
CC(C)(NC(=O)c1cnc(nc1O)-c1cc(ccn1)C(O)=O)c1ccccc1,6
CCCN1CCC(CC1)N(C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.03
OC(=O)CNC(=O)c1c(O)c2cccc3OCC(c4ccc(nc4)C(F)(F)F)n(c23)c1=O,6.1
CCN1CCN(CC1(C)C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.17
CO[C@@H]1CC[C@@H](CC1)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1F)C#N,6.17
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NCCC1CCCCO1)C#N,6.31
COCCCN(C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.31
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NCCCN1CCOCC1)C#N,6.31
COCCCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(OC)c1C,6.31
COc1cc(ccn1)-c1cnn(c1O)-c1ccc(cn1)C(=O)NCCCn1cccn1,6.31
COC(C)CCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.31
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NCC1CCC1)C#N,6.31
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)NCC1CCC(F)(F)CC1)C#N,6.31
C[C@@H]1CN(CCN1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.31
C[C@H]1CN(CCN1C1CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.31
CCN1CCN([C@H](C)C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.31
CC(C)N1CCN(C[C@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.31
CO[C@H](C)CCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,6.31
COCCCNC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(CC#N)c(F)c1,6.31
CCN1CCN([C@@H](C)C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1cc(F)c(cc1C)C#N,6.31
